gene	mean	median	longest_isoform	merged
Mir7211	63	63	63	63
Cep83os	4135	4135	4135	4135
Cep83	2986	2986	2986	2986
Plxnc1	7045	7045	7045	7045
Gm29684	1982	1982	1982	1982
Cradd	1650	1650	1650	1650
2310039L15Rik	642	642	642	642
Socs2	2161	2174	2222	2698
5730420D15Rik	1170	1170	1182	1182
Mrpl42	666	666	666	666
Ube2n	3851	3851	3851	3851
Nudt4	3231	3231	3231	3231
Mir3058	91	91	91	91
Eea1	7836	7836	7836	7836
4930459C07Rik	1207	1207	1207	1207
Btg1	5008	5008	5008	5008
4930556N09Rik	1015	1015	1015	1015
Mir3966	85	85	85	85
Dcn	1840	1840	1886	2084
Lum	2075	2075	2075	2075
4930473O22Rik	1465	1465	1465	1465
Kera	1950	1950	1950	1950
Epyc	1723	1723	1723	1723
Gm10754	1633	1633	1633	1633
Ccer1	1868	1868	1868	1868
4930525C09Rik	571	571	677	805
Gm8633	551	551	551	551
Atp2b1	7130	7130	7130	7130
Poc1b	2727	2727	2727	2727
Galnt4	5113	5113	5113	5113
Dusp6	2797	2797	2797	2797
Gm20110	2095	2095	2095	2095
Gm18409	2506	2506	2506	2506
Csl	1954	1954	1954	1954
Kitl	5450	5450	5450	5450
Gm4301	914	914	914	2742
Gm4312	914	914	914	2742
Gm4303	910	910	910	3640
Gm4307	910	910	910	3640
Gm4305	910	910	910	3640
Gm4302	927	927	927	1839
Tmtc3	4389	4389	5990	6630
Cep290	8006	8006	8006	8006
4930430F08Rik	2419	2419	2419	2419
1700017N19Rik	1690	1690	1690	1690
Mgat4c	3906	3808	4274	4759
Mir3059	81	81	81	81
Nts	1180	1180	1180	1180
Rassf9	2118	2118	2118	2118
Alx1	2493	2493	2493	2493
Lrriq1	3887	3887	5232	5293
Slc6a15	3595	3595	3644	3644
Gm4340	1258	1258	1258	6242
Gm6763	1217	1217	1217	8519
Gm20765	1246	1246	1246	8722
Gm21304	1217	1217	1217	8519
Gm8764	1217	1217	1217	8519
Gm21293	1217	1217	1217	8519
Gm21312	1246	1246	1246	8722
Mir6411	108	108	108	108
Tmtc2	5672	5672	5672	5672
Gm15663	3204	3204	3204	3204
Mettl25	2039	2039	2039	2039
Ccdc59	1078	1078	1078	1078
Ppfia2	6435	6435	6437	6437
4930532I03Rik	1467	1467	1724	1841
Acss3	2310	2310	2490	3104
Lin7a	6112	5887	6604	6835
Myf5	2083	2083	2083	2083
Myf6	1248	1248	1248	1248
Ptprq	7058	7058	7058	7058
Otogl	6984	6984	6984	6984
Gm29685	2363	2363	2363	2363
Ppp1r12a	3403	3403	3403	3403
Pawr	1828	1828	1828	1828
Syt1	4763	4740	4820	4820
Gm5136	1117	1117	1117	1117
Nav3	7782	7782	7782	7782
9230102K24Rik	1303	1303	1303	1303
E2f7	5476	5476	5476	5476
1700020G17Rik	610	610	610	610
Csrp2	889	889	889	889
Zdhhc17	4548	4548	4548	4548
Osbpl8	7133	7133	7152	7152
Bbs10	2753	2753	2753	2753
Nap1l1	2726	2726	3934	4094
Gm5176	558	558	558	558
Phlda1	1953	1953	1953	1953
4933440J02Rik	1144	1144	1144	1144
Gm20758	2171	2171	2171	2171
Krr1	4990	4990	4990	4990
Glipr1	1081	1081	1081	1081
Glipr1l1	896	896	896	896
Glipr1l2	1879	1879	1879	1879
Caps2	2760	2760	2760	2760
Kcnc2	6196	6196	6196	6196
1700010J16Rik	887	887	887	887
Atxn7l3b	3599	3599	3599	3599
Mir669h	50	50	50	50
Trhde	5722	5722	5722	5722
Tph2	2626	2626	2626	2626
Tbc1d15	3779	3779	3779	3779
Rab21	1824	1824	1824	1824
Tmem19	3009	3009	3009	3009
Thap2	3408	3408	3408	3408
Zfc3h1	6956	6956	6956	6956
Lgr5	4711	4711	4711	4711
A930009A15Rik	1007	1007	1007	1007
Tspan8	1439	1416	1522	1522
Ptprr	2870	2817	3466	4031
4933416C03Rik	2254	2254	2254	2254
Ptprb	11912	11912	11912	11912
Kcnmb4	1005	1005	1005	1005
Kcnmb4os1	753	753	753	753
Kcnmb4os2	1595	1595	1595	1595
Cnot2	2388	2693	2816	3483
1700030O20Rik	594	594	594	594
4930579P08Rik	1227	1227	1227	1227
Myrfl	3114	3114	3114	3114
Rab3ip	2690	2690	2690	2690
4933412E12Rik	1617	1617	1724	1724
D630029K05Rik	2190	2190	2245	2382
Best3	2719	2719	2719	2719
Lrrc10	1428	1428	1428	1428
Cct2	1962	1962	1962	1962
Frs2	5684	5684	5684	5684
Yeats4	1408	1408	1408	1408
9530003J23Rik	1219	1219	1219	1219
Lyz2	1057	1057	1057	1057
Lyz1	1265	1265	1265	1265
Cpsf6	6534	6534	6534	6534
Cpm	5195	5195	5195	5195
Mdm2	3056	3056	3099	3099
Slc35e3	3483	3483	3483	3483
Nup107	3092	3092	3092	3092
Rap1b	1937	1937	1937	1937
4933411E08Rik	1704	1704	1704	1704
Mdm1	3087	3091	3151	3151
Il22	1087	1087	1087	1087
Iltifb	1110	1110	1110	1110
Ifng	1207	1207	1207	1207
Tmevpg1	1121	1121	1121	1121
Dyrk2	2137	2137	2137	2137
Gm38403	2357	2357	2357	2357
1700064J06Rik	386	386	386	386
Cand1	8209	8209	8209	8209
4930477N07Rik	650	650	686	686
1700025F24Rik	894	894	894	894
Grip1	4457	4977	5219	6398
Grip1os2	723	723	723	723
Grip1os1	1084	1084	1084	1084
Helb	4532	4532	4532	4532
Irak3	2969	2969	2969	2969
Tmbim4	808	808	808	808
Llph	1162	1162	1162	1162
Hmga2	4176	4176	4176	4176
9230105E05Rik	2250	2250	2250	2250
Mir763	120	120	120	120
4921513I03Rik	1035	1035	1576	1747
Msrb3	3708	3708	3708	3708
Gm15910	2973	2973	2973	2973
Lemd3	4743	4743	4743	4743
Wif1	2242	2242	2242	2242
Tbc1d30	5695	5695	5695	5695
Gns	3855	3855	3855	3855
Rassf3	3424	3424	3424	3424
Tbk1	3030	3030	3030	3030
Xpot	5989	5989	5989	5989
D930020B18Rik	3427	3427	3427	3427
BC048403	3117	3117	3117	3117
Srgap1	7752	7752	7787	7821
Gm9079	1768	1768	1768	1768
Tmem5	1378	1378	1378	1378
Gm4489	520	520	520	520
Avpr1a	2671	2671	2671	2671
A130077B15Rik	2547	2547	2547	2547
Ppm1h	4667	4667	6387	7516
Mir8104	101	101	101	101
Mirlet7i	85	85	85	85
Mon2	9287	9282	9300	9303
Usp15	11505	11505	11549	11549
Fam19a2	4304	4364	4398	4610
4930503E24Rik	1333	1333	1333	1333
Slc16a7	2419	2419	2419	2419
Lrig3	4050	4050	4050	4050
Mir378d	110	110	110	110
4930484H19Rik	1750	1750	1750	1750
Xrcc6bp1	992	992	1067	1365
Ctdsp2	4479	4479	4823	5065
Mir26a-2	84	84	84	84
Mir546	121	121	121	121
Avil	3033	3033	3033	3033
Tsfm	1180	1180	1180	1180
Mettl21b	699	699	699	699
Mettl1	887	887	887	887
Cyp27b1	2421	2421	2421	2421
March9	1998	1998	1998	1998
Cdk4	1346	1346	1346	1346
Tspan31	1543	1543	1543	1543
LOC100504703	329	329	329	329
Agap2	5604	5604	5634	5634
Os9	3966	3966	4049	4049
B4galnt1	2059	2283	2474	3289
Slc26a10	2215	2215	2215	2215
Arhgef25	2230	2230	2261	2387
Dtx3	1944	1944	1944	1944
F420014N23Rik	2474	2474	2552	2552
Pip4k2c	3374	3374	3374	3374
Kif5a	5295	5295	6311	7006
Dctn2	1920	1919	1924	1925
Mbd6	4046	4046	4046	4046
Ddit3	847	847	871	871
Mars	2951	2951	2963	2963
Arhgap9	2091	2091	2372	2476
Gli1	3662	3662	3662	3662
Inhbe	2135	2135	2135	2135
Inhbc	1968	1968	1968	1968
R3hdm2	4163	4210	4249	4530
Stac3	1790	1790	1790	1790
Ndufa4l2	964	964	964	964
Shmt2	2300	2300	2305	2305
Nxph4	1675	1675	1675	1675
Lrp1	14891	14891	14891	14891
Stat6	3805	3805	3805	3805
Nab2	2479	2479	2575	2575
1700012D01Rik	695	695	695	695
Tmem194	3760	3760	6001	6513
Myo1a	3353	3353	3353	3353
Tac2	767	767	853	884
Zbtb39	5950	5950	5950	5950
Gpr182	1694	1694	1694	1694
Rdh1	3890	3890	3890	3890
Rdh9	2698	2698	2698	2698
Rdh16	3208	3208	3208	3208
Rdh18-ps	3648	3648	3648	3648
Rdh19	1889	1889	1889	1889
BC089597	1265	1265	1265	1265
Rdh7	1578	1578	1595	1595
Sdr9c7	2849	2849	2849	2849
Hsd17b6	1459	1459	1459	1459
Prim1	1533	1533	1533	1533
Naca	3127	1229	7034	7145
Ptges3	1954	1954	1954	1954
Atp5b	1879	1879	1879	1879
Mir677	78	78	78	78
Baz2a	8369	8369	8369	8369
Rbms2	5298	5298	5390	5609
Gls2	2443	2460	2489	2489
Spryd4	1568	1568	1568	1568
Mip	2143	2143	2143	2143
Timeless	4443	4456	4459	4515
Apon	1618	1618	1618	1618
Apof	1930	1930	1930	1930
Stat2	4394	4394	4394	4394
Il23a	1359	1359	1359	1359
Pan2	4414	4423	4450	4450
Cnpy2	1017	1017	1017	1017
Cs	2828	2828	2828	2828
Coq10a	2507	2507	2507	2507
Ankrd52	6615	6615	6615	6615
Mir6914	69	69	69	69
Mir6915	69	69	69	69
Slc39a5	1958	1942	2028	2144
Nabp2	1052	1052	1052	1052
Rnf41	4009	4105	4377	4498
Mir8105	89	89	89	89
Smarcc2	4738	4686	4935	5028
Myl6	614	614	614	614
Myl6b	1026	1026	1026	1026
A430046D13Rik	2141	2141	2169	2169
Esyt1	3685	3685	3685	3685
Mir6916	63	63	63	63
Zc3h10	2089	2089	2089	2089
Rpl41	449	449	449	449
Pa2g4	2432	2432	2432	2432
Erbb3	4020	4020	4020	4020
Mir6917	61	61	61	61
Rps26	448	448	448	448
Ikzf4	3580	3580	3580	3580
Suox	2349	2349	2349	2349
Rab5b	3176	3176	3176	3176
Cdk2	2360	2360	2432	2432
Pmel	2130	2130	2130	2130
Dgka	2813	2813	2813	2813
Wibg	1220	1196	1324	1491
Mmp19	3342	3342	3410	3453
Tmem198b	2335	2335	2335	2335
Dnajc14	4229	4229	4229	4229
Ormdl2	2055	2055	2055	2055
Sarnp	1062	1062	1062	1062
Gdf11	1811	1811	1811	1811
Cd63	941	940	984	1211
Rdh5	1260	1260	1260	1260
Bloc1s1	550	550	550	550
Itga7	4020	4020	4020	4020
Mettl7b	1227	1227	1227	1227
Olfr9	939	939	939	939
Olfr763	930	930	930	930
Olfr765	930	930	930	930
Olfr767	930	930	930	930
Olfr768	939	939	939	939
Olfr769	939	939	939	939
Olfr770	936	936	936	936
Olfr771	954	954	954	954
Olfr772	1004	1004	1004	1004
Olfr773	936	936	936	936
Olfr774	939	939	939	939
Olfr775	939	939	939	939
Olfr776	939	939	939	939
Olfr777	936	936	936	936
Olfr780	939	939	939	939
Olfr781	936	936	936	936
Olfr782	945	945	945	945
Olfr784	960	960	960	960
Olfr785	939	939	939	939
Olfr786	939	939	939	939
Olfr787	939	939	939	939
Olfr788	936	936	936	936
Olfr789	939	939	939	939
Olfr790	969	969	969	969
Olfr791	939	939	939	939
Olfr792	936	936	936	936
Olfr794	963	963	963	963
Olfr796	933	933	933	933
Olfr798	936	936	936	936
Olfr799	936	936	936	936
Olfr800	936	936	936	936
Mir684-1	85	85	86	85
Olfr801	957	957	957	957
Olfr802	939	939	939	939
Olfr803	927	927	927	927
Olfr804	945	945	945	945
Olfr805	960	960	960	960
Olfr806	942	942	942	942
Olfr807	936	936	936	936
Olfr808	939	939	939	939
Olfr809	987	987	987	987
Olfr810	939	939	939	939
Olfr811	960	960	960	960
Olfr812	933	933	933	933
Olfr813	933	933	933	933
Olfr814	933	933	933	933
Olfr815	951	951	951	951
Olfr816	939	939	939	939
Olfr818	957	957	957	957
Olfr819	963	963	963	963
Olfr247	945	945	945	1890
Olfr820	939	939	939	939
Olfr821	933	933	933	933
Olfr822	939	939	939	939
Olfr823	948	948	948	948
Olfr824	948	948	948	948
Olfr825	963	963	963	963
Olfr826	942	942	942	942
Olfr827	969	969	969	969
Neurod4	3345	3345	3345	3345
Tespa1	1694	1694	1694	1694
Vmn2r84	2550	2550	2550	2550
Vmn2r85	2553	2553	2553	2553
Vmn2r86	2547	2547	2547	2547
Vmn2r87	2547	2547	2547	2547
Pisd-ps1	2856	2856	2856	2856
Sfi1	4025	4025	4025	4025
Eif4enif1	3674	3686	3715	4230
Mir3470a	38	38	38	38
Drg1	1524	1524	1524	1524
Patz1	2681	3100	3192	3482
Gm11944	869	869	869	869
Pik3ip1	2243	2243	2243	2243
Limk2	4367	4537	4668	5050
Rnf185	3358	3379	3508	3508
8430429K09Rik	1506	1679	1838	2583
Pla2g3	2623	2623	2623	2623
Inpp5j	3473	3473	3473	3473
Selm	872	872	872	872
Smtn	3345	3387	3444	3548
Tug1	5525	5127	6719	6781
Morc2a	4751	4751	5085	5238
Osbp2	3361	3088	4097	4228
4921536K21Rik	2618	2618	2618	2618
Dusp18	4632	4632	4632	4632
Slc35e4	3059	3059	3059	3059
Tcn2	2049	2058	2061	2132
Pes1	2911	2911	2911	2911
Gal3st1	1780	1751	1969	2043
Sec14l4	2942	2942	2942	2942
Sec14l3	3928	3928	3928	3928
Mtfp1	1396	1396	1396	1396
Sec14l2	2528	2528	2528	2528
Rnf215	1936	1936	1936	1936
Mir3060	83	83	83	83
Ccdc157	5084	5084	5152	5152
Sf3a1	4916	4916	4916	4916
Tbc1d10a	1913	1913	1913	1913
Gatsl3	1548	1548	1548	1548
Osm	1907	1907	1907	1907
Lif	4056	4056	4097	4339
Hormad2	1343	1343	1343	1343
Mtmr3	5674	5674	5674	5674
Gm11961	1039	1039	1319	1562
Ascc2	2605	2605	2605	2605
Uqcr10	441	441	441	441
Zmat5	789	789	789	789
Cabp7	699	699	699	699
Nf2	3748	4728	4773	5298
Nipsnap1	1874	1874	1874	1874
Mir6918	58	58	58	58
Thoc5	2235	2235	2235	2235
AA413626	403	403	403	403
Nefh	3992	3992	3992	3992
Ap1b1	4166	4097	4315	4543
Gas2l1	3248	3224	3960	5403
Rasl10a	1108	1108	1108	1108
Ewsr1	2586	2413	3216	4590
Rhbdd3	1856	1965	2007	2073
Emid1	1911	1911	1911	1911
Kremen1	4907	4907	4907	4907
Mir3079	25	25	25	25
Znrf3	6752	6752	7199	7659
Xbp1	2234	2234	2247	2247
Ccdc117	3401	3401	3401	3401
Ankrd36	4491	4491	4491	4491
Mrps24	1007	1007	1007	1007
Urgcp	5323	5323	5531	5611
2210015D19Rik	1840	1840	1840	1840
Dbnl	2362	2360	2369	2369
Pgam2	906	906	906	906
Polm	2925	2925	2925	2925
Aebp1	4073	4073	4075	4075
Pold2	1610	1610	1610	1610
Myl7	590	590	590	590
Gck	2549	2549	2727	2898
Ykt6	2477	2477	2477	2477
Camk2b	3991	4001	4010	4166
Nudcd3	3962	3962	3962	3962
Rps15a-ps6	824	824	824	824
Npc1l1	4571	4571	4571	4571
Ddx56	3287	3287	3287	3287
Tmed4	1625	1625	1625	1625
Ogdh	6655	6660	6691	6984
Zmiz2	4005	4005	4053	4053
Mir7651	64	64	64	64
Ppia	736	736	736	736
H2afv	1636	1636	1636	1636
Purb	8478	8478	8478	8478
Myo1g	3307	3307	3307	3307
Gm11974	592	592	592	592
Ccm2	1778	1760	1875	2104
Nacad	4893	4893	4893	4893
Tbrg4	2743	2743	3139	3139
Snora5c	101	101	101	101
Wap	562	562	562	562
Gm11978	1306	1306	1306	1306
Ramp3	1221	1221	1221	1221
Gm11981	664	664	664	664
Adcy1	12258	12258	12258	12258
Gm11985	1003	1003	1003	1003
Igfbp1	1520	1520	1520	1520
Igfbp3	2442	2442	2442	2442
Tns3	7483	7483	7483	7483
Hus1	4637	4638	5071	5074
Sun3	1161	1178	1205	1301
Gm11992	2400	2400	2400	2400
Upp1	1264	1256	1283	1532
Abca13	16011	16011	16011	16011
Vwc2	3578	3578	3578	3578
Zpbp	3759	3759	3845	3845
4930415F15Rik	753	753	753	753
4930512M02Rik	729	729	729	729
Ikzf1	5129	5155	5451	5664
Fignl1	2927	2964	2974	2974
Ddc	1987	1987	2018	2089
1700042O10Rik	1075	1075	1075	1075
Grb10	4926	4926	5089	5158
Cobl	5536	5543	5618	5728
4930554G24Rik	1603	1603	1603	1603
1700046C09Rik	562	562	562	562
Pom121l12	1077	1077	1077	1077
Vstm2a	3568	3568	3629	3629
Sec61g	763	758	779	779
Egfr	4321	4321	5965	6438
Eldr	1662	1657	1793	1810
Fbxo48	2117	2117	2117	2117
Plek	4117	4117	4117	4117
Cnrip1	1539	1539	1539	1539
Ppp3r1	2829	2829	2829	2829
Pno1	1563	1563	1563	1563
Wdr92	3431	3431	3431	3431
C1d	2957	2957	2957	2957
Etaa1	4192	4192	4192	4192
Etaa1os	488	488	553	861
Gm12018	3376	3376	3376	3376
Meis1	3393	3393	3441	3441
4933406G16Rik	1416	1416	1416	1416
Spred2	2872	2872	2872	2872
Actr2	3669	3669	3669	3669
Rab1	2657	2657	2657	2657
Cep68	4810	4810	4810	4810
Slc1a4	3926	3926	3926	3926
Sertad2	5624	5624	5730	6027
Aftph	3949	3964	4045	4045
Lgalsl	3635	3635	3635	3635
Peli1	3485	3485	3485	3485
Vps54	4551	4551	4569	4569
Ugp2	2752	2752	2847	3100
Mir1933	88	88	88	88
4932414J04Rik	3061	3061	3061	3061
Mdh1	1958	1958	1958	1958
Wdpcp	2443	2443	2443	2443
Otx1	2825	2825	2825	2825
Ehbp1	5010	5010	5048	5048
Tmem17	1370	1370	1370	1370
B3gnt2	2637	2637	2699	2818
Commd1	818	818	818	818
Zrsr1	4492	4492	4492	4492
Cct4	1966	1966	1966	1966
Fam161a	1937	1937	1937	1937
1700061J23Rik	537	537	537	537
Xpo1	5025	5025	5144	5144
Usp34	12200	12200	12200	12200
Ahsa2	3701	3697	3716	3716
1700093K21Rik	1161	1161	1320	1447
Gm12060	783	783	783	783
0610010F05Rik	4140	4140	4140	4140
Pex13	4122	4122	4122	4122
Pus10	3318	3187	3590	3665
Rel	2584	2584	2584	2584
Papolg	3764	3764	3764	3764
Bcl11a	3210	2625	6112	7017
4933430M04Rik	743	743	743	743
Gm10466	2466	2466	2466	2466
4933427E13Rik	1493	1493	1493	1493
5730522E02Rik	1520	1520	1520	1520
Mir6372	109	109	109	109
Fancl	1699	1767	1782	1782
Vrk2	1817	1817	1891	1891
Gm12070	1646	1646	1646	1646
Ccdc85a	5400	5400	5460	5460
2810471M01Rik	1597	1597	1597	1597
Mir216b	86	86	86	86
Mir216c	69	69	69	69
Mir216a	72	72	72	72
Mir217	108	108	108	108
Efemp1	2036	2036	2036	2036
Pnpt1	2704	2704	2704	2704
Smek2	5108	5108	5108	5108
Cfap36	1523	1523	1523	1523
Ccdc88a	8862	8862	8862	8862
Prorsd1	2082	2082	2128	2128
Mtif2	2863	2861	3086	3086
Rps27a	773	773	821	821
Clhc1	2168	2168	2185	2185
Rtn4	4509	3804	6165	6674
Eml6	8080	8080	8080	8080
4931440F15Rik	3274	3274	3274	3274
Sptbn1	8644	8644	9049	11019
4930505A04Rik	925	925	925	925
Acyp2	671	671	671	671
Psme4	6442	6442	6442	6442
Gpr75	2922	2922	2922	2922
Erlec1	3501	3501	3501	3501
Asb3	3225	3225	3225	3225
Chac2	1312	1312	1330	1330
Stc2	1793	1793	1793	1793
Bod1	1402	1402	1402	1402
D630024D03Rik	802	829	965	1448
Cpeb4	7608	7617	7641	7641
4930524B15Rik	1959	1959	1959	1959
Nsg2	2200	2156	2292	2372
Gm12108	2591	2591	2591	2591
Il9r	3084	3084	3086	3086
Snrnp25	832	832	832	832
Rhbdf1	2879	2879	2939	2939
Mpg	1745	1745	1745	1745
Nprl3	2897	2884	3085	3206
Hba-x	600	600	600	600
Hba-a1	559	559	559	1118
Hba-a2	563	563	563	1126
Hbq1b	748	748	748	748
Hbq1a	604	604	604	604
Sh3pxd2b	7432	7432	7432	7432
Ubtd2	3032	3032	3032	3032
Efcab9	767	767	767	767
Stk10	5073	5073	5073	5073
Fbxw11	4254	4254	4337	4337
Smim23	606	606	606	606
Fgf18	1561	1561	1585	1585
Npm1	1364	1383	1422	1718
Tlx3	1532	1532	1532	1532
Ranbp17	5061	5061	5120	5120
Gabrp	3280	3280	3280	3280
Kcnip1	2198	2250	2289	2922
Kcnmb1	4188	4188	4188	4188
Lcp2	3348	3348	3348	3348
Foxi1	2354	2354	2354	2354
Dock2	6416	6416	6416	6416
Fam196b	5371	5371	5371	5371
Spdl1	2510	2510	2510	2510
Slit3	4996	4996	4996	4996
Mir218-2	110	110	110	110
Pank3	7365	7365	7365	7365
Mir103-1	86	86	86	86
Fbll1	1505	1505	1505	1505
Rars	2131	2131	2131	2131
Wwc1	3315	3315	3315	3315
Tenm2	9702	9702	9749	9779
Gm12128	2914	2914	2914	2914
Gm12130	2453	2453	2453	2453
4930553C11Rik	793	793	793	793
Mat2b	1955	1955	2053	2258
Hmmr	3914	3914	3914	3914
Nudcd2	1545	1545	1583	1583
Ccng1	3487	3487	3487	3487
Gabrg2	3923	3923	3935	3935
Gabra1	4687	4687	4687	4687
Gabra6	2474	2474	2489	2489
Gabrb2	7552	7552	7552	7552
Atp10b	6909	6909	6909	6909
Mir146	65	65	65	65
Pttg1	1215	1215	1690	1738
Slu7	3692	3692	3732	3732
C1qtnf2	1211	1211	1211	1211
Ccnjl	2709	2709	2709	2709
Fabp6	510	510	510	510
Pwwp2a	3687	3687	4096	5812
Ttc1	1432	1432	1432	1432
Adra1b	3257	3209	3359	3567
Il12b	2505	2505	2505	2505
Ublcp1	2138	2138	2138	2138
Rnf145	3924	3924	4279	7020
4930597A21Rik	698	698	698	698
Ebf1	5182	5204	5322	5325
Gm12159	1447	1447	1447	1447
F630206G17Rik	2396	2396	2396	2396
Clint1	3398	3398	3398	3398
Lsm11	6453	6453	6453	6453
Thg1l	3767	3767	3796	3968
Sox30	2995	2995	2995	2995
Adam19	6336	6395	6405	6447
Mir8100	121	121	121	121
Nipal4	3295	3295	3295	3295
Mir7239	57	57	57	57
Cyfip2	6544	6605	6660	7029
Mir6989	52	52	52	52
Fndc9	2263	2263	2263	2263
Itk	3672	4274	4292	4671
Fam71b	2190	2190	2190	2190
Med7	2391	2391	2560	2574
Havcr2	2724	2724	2724	2724
Gm12169	1026	1026	1026	1026
Gm12171	327	327	327	327
BC053393	2043	2043	2043	2043
Dppa1	2307	2307	2350	2350
Gm4926	1620	1620	1620	1620
Timd2	3038	3035	3153	3384
Havcr1	1914	1892	1984	2098
Timd4	2175	2175	2175	2175
Sgcd	1399	1399	1399	1399
Mir6380	60	60	60	60
Gnb2l1	1254	1254	1254	1254
Snord96a	77	77	77	77
Snord95	68	68	68	68
Trim41	3470	3470	3470	3470
Trim7	1366	1366	1366	1366
Irgm1	2227	2227	2227	2227
Gm5431	2971	2971	2971	2971
Gm12185	5287	5287	5287	5287
Psme2b	1059	1059	1059	1059
9930111J21Rik1	3863	3863	3863	3863
9930111J21Rik2	2403	2403	2403	4806
Tgtp1	2809	2809	2809	2809
Olfr56	1930	1930	1930	1930
Tgtp2	2816	2816	2816	2816
Ifi47	1816	1786	1937	2013
Olfr1396	981	981	981	981
Olfr1395	954	954	954	954
Olfr1394	939	939	939	939
Btnl9	2463	2463	2463	2463
Zfp62	3977	3977	4027	4027
Mgat1	2843	2855	3153	3312
Olfr1393	936	936	936	936
Olfr1392	1026	1026	1026	1026
Olfr10	936	936	936	936
Olfr1391	936	936	936	936
Olfr1390	936	936	936	936
Olfr1389	1073	1073	1073	1073
Olfr1388	936	936	936	936
Olfr1387	936	936	936	936
Olfr1386	1128	1128	1128	1128
Olfr1385	930	930	930	930
Olfr1384	1034	1034	1034	1034
Olfr1383	936	936	936	936
Olfr1382	936	936	936	936
Olfr1381	936	936	936	936
Olfr1380	936	936	936	936
Flt4	5839	5839	5839	5839
Scgb3a1	560	560	613	613
Cnot6	5549	5549	5726	5741
Gfpt2	2986	2986	2986	2986
Mapk9	4679	4679	4682	4754
Rasgef1c	2244	2244	2244	2244
Rnf130	3617	1525	7895	8200
Mir340	98	98	98	98
Tbc1d9b	5231	5246	5249	5249
3010026O09Rik	1140	1140	1140	1140
Sqstm1	1973	1973	2030	2030
Mgat4b	2429	2429	2429	2429
Mir6919	62	62	62	62
Ltc4s	588	588	588	588
Maml1	5552	5552	5552	5552
Canx	4275	4285	4289	4289
Mir804	95	95	95	95
Hnrnph1	2226	2226	2226	2226
Rufy1	2657	2657	2657	2657
Adamts2	6171	6171	7265	9083
Zfp354c	5367	5367	5367	5367
Zfp879	2348	2348	2412	2412
Grm6	4332	4332	4332	4332
Zfp454	2056	2056	2056	2056
Zfp2	3091	3099	3140	3187
Zfp354b	2494	2494	2494	2494
Prop1	1000	1000	1000	1000
Olfr1378	948	948	948	948
Olfr1377	924	924	924	924
Olfr51	924	924	924	924
Olfr54	942	942	942	942
Olfr1375	942	942	942	942
Zfp354a	4029	4029	4029	4029
9230009I02Rik	1150	1150	1150	1150
Platr20	937	937	937	937
BC049762	883	883	883	883
Clk4	1829	1829	1955	1955
Col23a1	5665	5665	5665	5665
Phykpl	1896	1896	1896	1896
Hnrnpab	2474	2474	2545	2545
Nhp2	1004	1004	1004	1004
Rmnd5b	1946	1946	1946	1946
N4bp3	2572	2572	2572	2572
D930048N14Rik	3429	3429	3429	3429
0610009B22Rik	795	795	795	795
Sec24a	6796	6796	6798	6798
Sar1b	1253	1253	1253	1253
Jade2	6100	6100	6100	6100
Cdkn2aipnl	1864	1864	1864	1864
Ube2b	2125	2125	2125	2125
Cdkl3	2260	2208	2765	3507
Ppp2ca	1930	1930	1930	1930
Mir3061	91	91	91	91
Olfr1373	936	936	936	936
Olfr1372-ps1	1768	1768	1768	1768
Olfr1371	936	936	936	936
Skp1a	1454	1454	1454	1454
Tcf7	2238	2238	2238	2238
Vdac1	1766	1766	1766	1766
9530068E07Rik	2467	2467	2467	2467
Fstl4	3117	3117	3117	3117
Gm11186	1179	1179	1179	1179
Hspa4	4640	4640	4640	4640
Zcchc10	1257	1257	1257	1257
Aff4	10165	10165	10165	10165
Mir6920	71	71	71	71
Leap2	497	497	497	497
Uqcrq	499	499	499	499
Gdf9	1804	1804	1804	1804
Shroom1	3217	3217	3312	3312
Sowaha	3618	3618	3618	3618
Sept8	4505	4447	4627	4627
Kif3a	5440	5441	5450	5450
Il4	594	594	604	843
Il13	1206	1206	1206	1206
Rad50	5153	5153	5153	5153
Il5	1534	1534	1534	1534
Mir7671	58	58	58	58
Irf1	2119	2129	2138	3360
Gm12216	1152	1152	1152	1152
Slc22a5	3105	3105	3105	3105
Slc22a21	2297	2297	2297	2297
Slc22a4	2260	2260	2260	2260
Pdlim4	1185	1185	1185	1185
P4ha2	2281	2281	2284	2344
4933405E24Rik	1081	1081	1081	1081
Csf2	1033	1033	1033	1033
Il3	849	849	849	849
Acsl6	2628	2592	2767	3074
Meikin	1433	1433	1433	1433
Fnip1	6281	6281	6281	6281
Rapgef6	6399	7928	8207	11963
Cdc42se2	3138	3138	3138	3138
Lyrm7os	928	928	928	928
Lyrm7	2180	2180	2180	2180
Hint1	576	576	576	576
Gpx3	1517	1517	1517	1517
Tnip1	2807	2817	2996	3049
Anxa6	2652	2652	2661	2661
Ccdc69	1419	1419	1419	1419
Gm2a	4256	4256	4256	4256
Slc36a3	1758	1758	1758	1758
Slc36a2	2431	2431	2431	2431
Slc36a1os	1790	1790	1790	1790
Slc36a1	5274	5274	5274	5274
Fat2	14423	14423	14423	14423
Sparc	2639	2639	2641	2641
Atox1	438	438	438	438
G3bp1	2685	2685	2685	2685
Gm12238	124	124	124	124
Glra1	2401	2401	2413	2413
Nmur2	3276	3276	3276	3276
Gria1	5613	5738	5738	5978
